Country,Year,Gov_R&D_Share
USA,2010,29.96
USA,2011,25.69
USA,2012,20.76
USA,2013,36.32
USA,2014,21.77
USA,2015,34.5
USA,2016,23.17
USA,2017,21.31
USA,2018,23.88
USA,2019,19.04
USA,2020,32.43
USA,2021,25.08
USA,2022,16.97
USA,2023,36.99
Germany,2010,21.52
Germany,2011,26.31
Germany,2012,37.19
Germany,2013,28.73
Germany,2014,13.51
Germany,2015,38.19
Germany,2016,28.83
Germany,2017,20.05
Germany,2018,14.18
Germany,2019,33.82
Germany,2020,28.6
Germany,2021,26.0
Germany,2022,36.82
Germany,2023,33.66
Japan,2010,14.55
Japan,2011,19.35
Japan,2012,17.45
Japan,2013,32.32
Japan,2014,11.01
Japan,2015,27.1
Japan,2016,32.87
Japan,2017,36.3
Japan,2018,20.26
Japan,2019,34.64
Japan,2020,13.32
Japan,2021,35.39
Japan,2022,13.82
Japan,2023,21.92
France,2010,33.92
France,2011,14.5
France,2012,16.88
France,2013,31.67
France,2014,31.6
France,2015,29.23
France,2016,30.82
France,2017,26.28
France,2018,17.55
France,2019,20.37
France,2020,15.45
France,2021,37.25
France,2022,27.5
France,2023,22.03
UK,2010,23.86
UK,2011,38.42
UK,2012,14.6
UK,2013,27.59
UK,2014,25.18
UK,2015,28.34
UK,2016,10.54
UK,2017,36.16
UK,2018,37.96
UK,2019,26.95
UK,2020,30.9
UK,2021,37.67
UK,2022,31.22
UK,2023,14.58
Canada,2010,27.29
Canada,2011,28.2
Canada,2012,22.72
Canada,2013,32.09
Canada,2014,38.03
Canada,2015,37.77
Canada,2016,23.53
Canada,2017,13.4
Canada,2018,39.55
Canada,2019,35.17
Canada,2020,13.74
Canada,2021,37.63
Canada,2022,36.1
Canada,2023,25.57
China,2010,27.74
China,2011,21.97
China,2012,11.64
China,2013,20.06
China,2014,34.09
China,2015,10.14
China,2016,20.0
China,2017,21.95
China,2018,26.12
China,2019,37.6
China,2020,20.39
China,2021,20.41
China,2022,32.13
China,2023,23.57
India,2010,16.74
India,2011,23.57
India,2012,14.23
India,2013,15.29
India,2014,24.95
India,2015,22.57
India,2016,37.45
India,2017,20.87
India,2018,27.42
India,2019,28.97
India,2020,10.39
India,2021,29.91
India,2022,15.34
India,2023,38.83
Brazil,2010,14.46
Brazil,2011,22.44
Brazil,2012,12.56
Brazil,2013,39.91
Brazil,2014,25.07
Brazil,2015,27.86
Brazil,2016,12.01
Brazil,2017,32.5
Brazil,2018,16.3
Brazil,2019,36.94
Brazil,2020,16.15
Brazil,2021,15.72
Brazil,2022,11.1
Brazil,2023,24.16
South Korea,2010,26.95
South Korea,2011,11.97
South Korea,2012,33.27
South Korea,2013,23.6
South Korea,2014,25.73
South Korea,2015,23.22
South Korea,2016,22.02
South Korea,2017,26.79
South Korea,2018,14.66
South Korea,2019,15.46
South Korea,2020,35.85
South Korea,2021,38.38
South Korea,2022,21.2
South Korea,2023,18.12
